編號,LOG圖片名稱,LOG圖文件,國家名稱
18,布齐.jpg  ,布齐.jpg  ,美國  
17,大召寺.jpg  ,大召寺.jpg  ,美國  
16,阿尔山天池.jpg  ,阿尔山天池.jpg  ,德國  
15,布齐.jpg  ,布齐.jpg  ,德國  
14,天一阁.jpg  ,天一阁.jpg  ,藝?  
13,20081242141247_2.jpg  ,20081242141247_2.jpg  ,藝?  
12,六和塔.jpg  ,六和塔.jpg  ,藝?  
11,noimg.jpg  ,noimg.jpg  ,藝?  
10,logo.jpg  ,logo.jpg  ,藝?  
9,left_zxkf.jpg  ,left_zxkf.jpg  ,藝?  
8,left_003.jpg  ,left_003.jpg  ,藝?  
7,left_002_1.jpg  ,left_002_1.jpg  ,藝?  
6,left_001_.jpg  ,left_001_.jpg  ,藝?  
5,未标题-1_01.jpg  ,未标题-1_01.jpg  ,藝?  
2,123,2012814143510975.jpg  ,123
1,美的集團  ,201288223829584.gif  ,美國  
4,login_topbg.jpg  ,login_topbg.jpg  ,藝?  
